timestamp,frame,tracking_lost,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_gesture,left_gesture_confidence,left_gesture_angle,right_gesture,right_gesture_confidence,right_gesture_angle
0.0556517,0,0,0.620923,0.715789,-0.0793692,0.999388,0.334286,0.711493,-0.126366,0.998757,0.772665,0.954392,-0.377895,0.912845,0.22522,1.1125,-0.151418,0.619753,0.715749,0.546476,-0.721799,0.934851,0.204855,1.46412,-0.430251,0.625856,pronation,0.552756,0.110551,none,0,0
0.159273,1,0,0.629556,0.713461,-0.0848726,0.999441,0.336877,0.706908,-0.11691,0.998831,0.774394,0.960018,-0.405834,0.917693,0.248759,1.20929,-0.18483,0.587682,0.727212,0.562518,-0.748414,0.940896,0.22376,1.58854,-0.530399,0.596839,pronation,0.552756,0.110551,none,0,0
0.222408,2,0,0.630502,0.714873,-0.0796965,0.999486,0.339991,0.704376,-0.114417,0.998881,0.789366,1.04412,-0.39794,0.921851,0.248302,1.21256,-0.169041,0.560235,0.736699,0.595876,-0.740882,0.946275,0.225594,1.59599,-0.476989,0.567725,pronation,0.552756,0.110551,none,0,0
0.290862,3,0,0.634602,0.715033,-0.0911965,0.999526,0.342023,0.703186,-0.12405,0.998916,0.797876,1.06087,-0.403555,0.924078,0.246326,1.21411,-0.163509,0.531355,0.740893,0.608189,-0.75209,0.951044,0.225784,1.60577,-0.442652,0.542792,pronation,0.552756,0.110551,none,0,0
0.362274,4,0,0.636952,0.71643,-0.0544082,0.99955,0.345814,0.698873,-0.120092,0.998907,0.796329,1.06408,-0.426598,0.925371,0.255539,1.04821,-0.38226,0.517394,0.743103,0.614684,-0.861617,0.955643,0.28988,1.3665,-0.907407,0.541427,pronation,0.552756,0.110551,none,0,0
0.466254,5,0,0.633779,0.71641,-0.0191481,0.999587,0.341059,0.666983,-0.107915,0.99895,0.796088,1.06144,-0.434533,0.92597,0.266716,1.19064,-0.604201,0.538595,0.741405,0.615741,-0.903268,0.95999,0.36419,0.942313,-1.32169,0.585533,pronation,0.505145,0.101029,pronation,0.718027,0.143605
0.557674,6,0,0.633575,0.707957,-0.0214256,0.999614,0.347712,0.667054,-0.0185694,0.998968,0.790146,1.01392,-0.423534,0.928132,0.230598,1.10412,-0.468776,0.561278,0.740128,0.612319,-0.841025,0.963736,0.261817,0.674315,-1.04215,0.621953,pronation,0.577764,0.115553,pronation,0.988092,0.197618
0.624636,7,0,0.633365,0.706349,-0.0142094,0.999626,0.348414,0.668857,-0.0172802,0.998973,0.789892,0.988524,-0.418481,0.929264,0.231249,1.03442,-0.482578,0.596824,0.739022,0.603278,-0.821908,0.966705,0.270233,0.560424,-0.992739,0.654304,pronation,0.584778,0.116956,pronation,1,0.234604
0.69283,8,0,0.633117,0.705457,-0.0138507,0.999639,0.351272,0.670067,0.00102575,0.99901,0.789058,0.980156,-0.407333,0.933153,0.212173,0.918722,-0.433512,0.632402,0.734196,0.58183,-0.746437,0.969748,0.273724,0.525218,-0.972028,0.686308,pronation,0.588285,0.117657,pronation,1,0.263225
0.787592,9,0,0.63292,0.705379,-0.0136349,0.999667,0.354628,0.676744,-0.0151642,0.999085,0.787898,0.961485,-0.377593,0.936916,0.205691,0.900715,-0.438556,0.667661,0.725782,0.5478,-0.682942,0.972557,0.276452,0.456527,-0.916573,0.716993,pronation,0.55394,0.110788,pronation,1,0.277602
0.852648,10,0,0.632978,0.705586,-0.0286064,0.999692,0.355046,0.676937,-0.0235171,0.999151,0.784553,0.954198,-0.378071,0.941266,0.199032,0.868421,-0.437994,0.699618,0.71596,0.519976,-0.674644,0.975147,0.277022,0.424907,-0.89588,0.744329,pronation,0.536768,0.107354,supination,1,0.288218
0.914753,11,0,0.63214,0.705738,-0.0279838,0.999717,0.354662,0.677229,-0.0161761,0.999204,0.782686,0.94795,-0.378109,0.945285,0.198076,0.85483,-0.42581,0.728234,0.705456,0.507599,-0.664231,0.977437,0.279691,0.40329,-0.886259,0.768595,pronation,0.536768,0.107354,supination,1,0.297457
0.983887,12,0,0.630245,0.707583,-0.0200063,0.99974,0.354612,0.677473,0.0092406,0.99926,0.778459,0.951975,-0.372471,0.948749,0.191477,0.86002,-0.417661,0.754068,0.697802,0.508011,-0.661216,0.979549,0.279007,0.407511,-0.847266,0.790959,pronation,0.536768,0.107354,supination,1,0.321842
1.05511,13,0,0.628908,0.707193,-0.0179644,0.999762,0.354711,0.67822,0.0312293,0.999312,0.772725,0.954286,-0.367213,0.952594,0.19063,0.86423,-0.368285,0.777237,0.687871,0.508603,-0.643262,0.981468,0.27821,0.42553,-0.802876,0.810638,pronation,0.536768,0.107354,supination,1,0.30836
1.11278,14,0,0.628277,0.707227,0.00159307,0.99978,0.355034,0.6855,0.0608157,0.999356,0.769993,0.954711,-0.351596,0.955653,0.189084,0.871688,-0.339336,0.798014,0.678774,0.502905,-0.631528,0.983148,0.278004,0.43587,-0.781387,0.8281,pronation,0.536768,0.107354,supination,1,0.290499
1.18362,15,0,0.625435,0.705255,-0.000260751,0.999796,0.354873,0.686335,0.0430468,0.999395,0.764937,0.949007,-0.345714,0.958173,0.190165,0.873623,-0.347095,0.816786,0.671866,0.502124,-0.61174,0.984634,0.277255,0.430652,-0.795638,0.844087,pronation,0.536768,0.107354,supination,1,0.234066
1.25457,16,0,0.622889,0.704766,-0.0242174,0.999803,0.354801,0.688517,0.0374062,0.999426,0.760213,0.942746,-0.355414,0.960384,0.189948,0.875673,-0.349399,0.833274,0.665111,0.493752,-0.617585,0.985989,0.276139,0.446057,-0.801287,0.858375,pronation,0.536768,0.107354,supination,0.997946,0.199589
1.32139,17,0,0.62145,0.705187,-0.0309938,0.999807,0.353184,0.68917,0.0304056,0.999452,0.758448,0.943531,-0.369088,0.962273,0.187657,0.875504,-0.376096,0.848191,0.659851,0.487942,-0.630825,0.987188,0.274895,0.439628,-0.85337,0.871221,pronation,0.536768,0.107354,supination,0.850329,0.170066
1.38681,18,0,0.62103,0.705276,-0.0318963,0.999817,0.349639,0.689164,0.0265479,0.999487,0.759266,0.942361,-0.369113,0.963508,0.180194,0.87796,-0.377693,0.861639,0.651827,0.47963,-0.62055,0.988324,0.270243,0.435441,-0.851832,0.883306,pronation,0.536768,0.107354,pronation,0.792022,0.158404
1.45221,19,0,0.619723,0.705256,-0.0229218,0.999827,0.344824,0.69193,0.0450715,0.999519,0.761237,0.934275,-0.335636,0.965616,0.170992,0.879741,-0.344416,0.874348,0.647583,0.468558,-0.51576,0.989344,0.260908,0.43659,-0.792708,0.89421,pronation,0.536768,0.107354,pronation,0.661825,0.132365
1.51103,20,0,0.615016,0.705386,-0.00151899,0.999838,0.340229,0.692331,0.0581967,0.999549,0.762644,0.927024,-0.303242,0.967985,0.167733,0.874116,-0.318778,0.885553,0.6523,0.46172,-0.499335,0.990245,0.24619,0.426622,-0.761872,0.903598,pronation,0.536768,0.107354,pronation,0.645149,0.12903
1.58316,21,0,0.61315,0.705727,-0.0230331,0.999849,0.339538,0.693673,0.0592562,0.999574,0.776992,0.924794,-0.31002,0.970585,0.158889,0.865861,-0.281466,0.896182,0.654866,0.461161,-0.508553,0.991065,0.22561,0.420887,-0.673471,0.911719,pronation,0.536768,0.107354,pronation,0.661023,0.132205
1.65224,22,0,0.610044,0.705161,-0.0258012,0.999861,0.339109,0.693295,0.0554997,0.999602,0.789757,0.905351,-0.320558,0.973117,0.149368,0.860019,-0.280475,0.905893,0.668805,0.462543,-0.527234,0.991764,0.208796,0.427873,-0.692178,0.91917,pronation,0.536768,0.107354,pronation,0.711917,0.142383
1.71351,23,0,0.60491,0.70018,-0.0271345,0.999871,0.338725,0.69254,0.069629,0.99963,0.800035,0.873906,-0.312509,0.975449,0.139001,0.858688,-0.24915,0.914784,0.685185,0.460694,-0.479027,0.992439,0.199502,0.428288,-0.646359,0.926337,pronation,0.536768,0.107354,pronation,0.806693,0.161339
1.78388,24,0,0.603065,0.697607,-0.0329748,0.99988,0.337843,0.693107,0.082874,0.999654,0.80131,0.860841,-0.318166,0.97752,0.135957,0.859345,-0.192233,0.922815,0.692875,0.456176,-0.495038,0.993039,0.195215,0.430117,-0.543928,0.932633,pronation,0.536768,0.107354,pronation,0.869735,0.173947
1.85189,25,0,0.601813,0.697687,-0.0375406,0.999887,0.337954,0.696075,0.100162,0.999672,0.798658,0.869622,-0.329269,0.979325,0.139627,0.860453,-0.148562,0.929988,0.698219,0.456365,-0.502697,0.993595,0.199543,0.433321,-0.497565,0.938396,pronation,0.524571,0.104914,pronation,1,0.205244
1.91946,26,0,0.601781,0.707048,-0.0407102,0.999896,0.338031,0.703311,0.0887349,0.999697,0.797067,0.878004,-0.332115,0.98087,0.142071,0.861261,-0.202567,0.936529,0.701687,0.457596,-0.534691,0.994177,0.204284,0.426805,-0.591934,0.944259,pronation,0.611277,0.122255,pronation,1,0.225982
1.98497,27,0,0.60218,0.711122,-0.0397977,0.999902,0.338116,0.710522,0.081717,0.999716,0.796397,0.894363,-0.344818,0.981984,0.144248,0.864153,-0.26084,0.94217,0.700387,0.458877,-0.59007,0.994646,0.20713,0.429047,-0.719524,0.949201,pronation,0.654642,0.130928,pronation,1,0.24367
